"Customer","Sales Order ID","ShipDate","Product","Sales","Quantity"
"Melanie, Cox","SO64640",2013-02-28,"All-Purpose Bike Stand",159.00,1
"Tyrone, Sanz","SO64706",2013-03-01,"All-Purpose Bike Stand",159.00,1
"Jesse, Carter","SO64983",2013-03-06,"All-Purpose Bike Stand",159.00,1
"Alexandra, Jenkins","SO65103",2013-03-08,"All-Purpose Bike Stand",159.00,1
"Kaitlyn, Hall","SO65772",2013-03-16,"All-Purpose Bike Stand",159.00,1
"Latasha, Gutierrez","SO65802",2013-03-17,"All-Purpose Bike Stand",159.00,1
"April, Andersen","SO65835",2013-03-17,"All-Purpose Bike Stand",159.00,1
"Brenda, Stone","SO65888",2013-03-18,"All-Purpose Bike Stand",159.00,1
"Bonnie, Lal","SO65917",2013-03-18,"All-Purpose Bike Stand",159.00,1
"Ashley, Henderson","SO66040",2013-03-20,"All-Purpose Bike Stand",159.00,1
"Dwayne, Gill","SO66085",2013-03-21,"All-Purpose Bike Stand",159.00,1
"Joe, Martinez","SO66188",2013-03-22,"All-Purpose Bike Stand",159.00,1
"Robert, Foster","SO66223",2013-03-23,"All-Purpose Bike Stand",159.00,1
"Krystal, Chen","SO66345",2013-03-25,"All-Purpose Bike Stand",159.00,1
"Rafael, Lin","SO66326",2013-03-25,"All-Purpose Bike Stand",159.00,1
"Samantha, Jenkins","SO66448",2013-03-27,"All-Purpose Bike Stand",159.00,1
"Dana, Diaz","SO66573",2013-03-29,"All-Purpose Bike Stand",159.00,1
"Gabrielle, Collins","SO66600",2013-03-29,"All-Purpose Bike Stand",159.00,1
"Ricardo, Shen","SO66667",2013-03-30,"All-Purpose Bike Stand",159.00,1
"Sara, Baker","SO66841",2013-04-02,"All-Purpose Bike Stand",159.00,1
"Fernando, Thomas","SO67097",2013-04-06,"All-Purpose Bike Stand",159.00,1
"Bridget, Deng","SO67372",2013-04-09,"All-Purpose Bike Stand",159.00,1
"Angela, Powell","SO67506",2013-04-11,"All-Purpose Bike Stand",159.00,1
"Terrence, Raji","SO67530",2013-04-11,"All-Purpose Bike Stand",159.00,1
"Margaret, Ye","SO67547",2013-04-11,"All-Purpose Bike Stand",159.00,1
"Tiffany, Zhou","SO67612",2013-04-12,"All-Purpose Bike Stand",159.00,1
"Miguel, Green","SO67690",2013-04-13,"All-Purpose Bike Stand",159.00,1
"Julia, Ward","SO67754",2013-04-14,"All-Purpose Bike Stand",159.00,1
"Brittney, Hu","SO68083",2013-04-19,"All-Purpose Bike Stand",159.00,1
"Emma, Foster","SO68109",2013-04-20,"All-Purpose Bike Stand",159.00,1
"Jocelyn, Gonzales","SO68164",2013-04-21,"All-Purpose Bike Stand",159.00,1
"Caleb, Evans","SO68219",2013-04-22,"All-Purpose Bike Stand",159.00,1
"Barbara, Nara","SO68276",2013-04-23,"All-Purpose Bike Stand",159.00,1
"Zoe, James","SO68292",2013-04-23,"All-Purpose Bike Stand",159.00,1
"Roger, Zeng","SO68312",2013-04-23,"All-Purpose Bike Stand",159.00,1
"Noah, Gonzalez","SO68369",2013-04-24,"All-Purpose Bike Stand",159.00,1
"Frank, Gomez","SO68623",2013-04-27,"All-Purpose Bike Stand",159.00,1
"Elijah, Jai","SO68675",2013-04-28,"All-Purpose Bike Stand",159.00,1
"Jeremiah, Russell","SO68690",2013-04-29,"All-Purpose Bike Stand",159.00,1
"James, Wright","SO68858",2013-05-01,"All-Purpose Bike Stand",159.00,1
"Beth, Moreno","SO68866",2013-05-01,"All-Purpose Bike Stand",159.00,1
"Nicole, Hall","SO68834",2013-05-01,"All-Purpose Bike Stand",159.00,1
"Claudia, Holt","SO68897",2013-05-02,"All-Purpose Bike Stand",159.00,1
"Clayton, Pal","SO68961",2013-05-03,"All-Purpose Bike Stand",159.00,1
"James, Parker","SO69123",2013-05-05,"All-Purpose Bike Stand",159.00,1
"Josue, Dominguez","SO69143",2013-05-05,"All-Purpose Bike Stand",159.00,1
"Fernando, Barnes","SO69182",2013-05-06,"All-Purpose Bike Stand",159.00,1
"Larry, Diaz","SO69205",2013-05-06,"All-Purpose Bike Stand",159.00,1
"Donald, Martinez","SO69201",2013-05-06,"All-Purpose Bike Stand",159.00,1
"Olivia, Morgan","SO69263",2013-05-07,"All-Purpose Bike Stand",159.00,1
"Autumn, Zhang","SO69596",2013-05-09,"All-Purpose Bike Stand",159.00,1
"Jodi, Becker","SO69594",2013-05-09,"All-Purpose Bike Stand",159.00,1
"Jessie, Travers","SO69757",2013-05-11,"All-Purpose Bike Stand",159.00,1
"Ramon, Zhang","SO69795",2013-05-12,"All-Purpose Bike Stand",159.00,1
"Stephanie, Henderson","SO69807",2013-05-12,"All-Purpose Bike Stand",159.00,1
"Chad, Sharma","SO69933",2013-05-13,"All-Purpose Bike Stand",159.00,1
"Albert, Romero","SO70119",2013-05-16,"All-Purpose Bike Stand",159.00,1
"Jennifer, Campbell","SO70286",2013-05-18,"All-Purpose Bike Stand",159.00,1
"Ian, Wood","SO70295",2013-05-18,"All-Purpose Bike Stand",159.00,1
"Sara, Sanders","SO70328",2013-05-19,"All-Purpose Bike Stand",159.00,1
"Desiree, Alvarez","SO70462",2013-05-21,"All-Purpose Bike Stand",159.00,1
"Craig, Ramos","SO70461",2013-05-21,"All-Purpose Bike Stand",159.00,1
"Nathaniel, Cox","SO70570",2013-05-22,"All-Purpose Bike Stand",159.00,1
"Desiree, Jimenez","SO70556",2013-05-22,"All-Purpose Bike Stand",159.00,1
"Preston, Gonzalez","SO70784",2013-05-25,"All-Purpose Bike Stand",159.00,1
"Neil, Rubio","SO71051",2013-05-29,"All-Purpose Bike Stand",159.00,1
"Tyrone, Diaz","SO71099",2013-05-30,"All-Purpose Bike Stand",159.00,1
"Emma, Williams","SO71313",2013-06-02,"All-Purpose Bike Stand",159.00,1
"Clarence, Chande","SO71391",2013-06-03,"All-Purpose Bike Stand",159.00,1
"Emily, Gonzales","SO71446",2013-06-04,"All-Purpose Bike Stand",159.00,1
"Kari, Subram","SO71499",2013-06-05,"All-Purpose Bike Stand",159.00,1
"Emma, Patterson","SO71571",2013-06-06,"All-Purpose Bike Stand",159.00,1
"Kathleen, Gill","SO71568",2013-06-06,"All-Purpose Bike Stand",159.00,1
"Kevin, Gonzales","SO71680",2013-06-07,"All-Purpose Bike Stand",159.00,1
"Stacy, Gill","SO71703",2013-06-08,"All-Purpose Bike Stand",159.00,1
"Reginald, Martin","SO71955",2013-06-09,"All-Purpose Bike Stand",159.00,1
"Spencer, Powell","SO72082",2013-06-11,"All-Purpose Bike Stand",159.00,1
"Michele, Xu","SO72232",2013-06-13,"All-Purpose Bike Stand",159.00,1
"Jordyn, Perry","SO72925",2013-06-22,"All-Purpose Bike Stand",159.00,1
"Rafael, Andersen","SO72965",2013-06-23,"All-Purpose Bike Stand",159.00,1
"Christian, Harris","SO73003",2013-06-23,"All-Purpose Bike Stand",159.00,1
"Abigail, Miller","SO73210",2013-06-26,"All-Purpose Bike Stand",159.00,1
"Hailey, Sanders","SO73202",2013-06-26,"All-Purpose Bike Stand",159.00,1
"Reginald, Vazquez","SO73523",2013-06-30,"All-Purpose Bike Stand",159.00,1
"Rosa, Yang","SO73721",2013-07-03,"All-Purpose Bike Stand",159.00,1
"Abigail, Williams","SO73803",2013-07-04,"All-Purpose Bike Stand",159.00,1
"Jerry, Ferrier","SO74086",2013-07-07,"All-Purpose Bike Stand",159.00,1
"Taylor, Washington","SO74130",2013-07-08,"All-Purpose Bike Stand",159.00,1
"Jonathan, Hall","SO61148",2013-01-07,"AWC Logo Cap",8.99,1
"Rachel, Wilson","SO61152",2013-01-07,"AWC Logo Cap",8.99,1
"Curtis, Guo","SO61150",2013-01-07,"AWC Logo Cap",8.99,1
"Meredith, Diaz","SO61131",2013-01-07,"AWC Logo Cap",8.99,1
"Shaun, Andersen","SO61144",2013-01-07,"AWC Logo Cap",8.99,1
"Tiffany, Chen","SO61158",2013-01-07,"AWC Logo Cap",8.99,1
"Joshua, Miller","SO61277",2013-01-08,"AWC Logo Cap",8.99,1
"Colleen, Zhu","SO61276",2013-01-08,"AWC Logo Cap",8.99,1
"Arianna, Morgan","SO61298",2013-01-08,"AWC Logo Cap",8.99,1
"Edwin, Zhu","SO61274",2013-01-08,"AWC Logo Cap",8.99,1
"Karsing","SO61216",2013-01-08,"AWC Logo Cap",10.79,2
"Iconation","SO61238",2013-01-08,"AWC Logo Cap",10.79,2
"R2J2","SO61224",2013-01-08,"AWC Logo Cap",10.79,2
"Towmotor Corporation","SO61173",2013-01-08,"AWC Logo Cap",10.79,2
"Garbee and Garbee","SO61182",2013-01-08,"AWC Logo Cap",16.18,3
"eDistrict","SO61248",2013-01-08,"AWC Logo Cap",16.18,3
"Elucidex","SO61195",2013-01-08,"AWC Logo Cap",21.58,4
"MATRIX","SO61240",2013-01-08,"AWC Logo Cap",21.58,4
"Reflex Presentations","SO61228",2013-01-08,"AWC Logo Cap",26.97,5
"Trust Company of Georgia","SO61227",2013-01-08,"AWC Logo Cap",26.97,5
"Idyllwild","SO61210",2013-01-08,"AWC Logo Cap",26.97,5
"Bechtel Corporation","SO61226",2013-01-08,"AWC Logo Cap",26.97,5
"Acsior","SO61175",2013-01-08,"AWC Logo Cap",32.36,6
"T3West","SO61258",2013-01-08,"AWC Logo Cap",32.36,6
"Filene’s","SO61243",2013-01-08,"AWC Logo Cap",32.36,6
"GammaGraphX (GGX)","SO61204",2013-01-08,"AWC Logo Cap",32.36,6
"iLanguage","SO61239",2013-01-08,"AWC Logo Cap",32.36,6
"Quantum Leap  Solutions","SO61230",2013-01-08,"AWC Logo Cap",32.36,6
"Razorfish","SO61184",2013-01-08,"AWC Logo Cap",32.36,6
"Bibb Manufacturing Company","SO61229",2013-01-08,"AWC Logo Cap",43.15,8
"SASCO PC Products","SO61218",2013-01-08,"AWC Logo Cap",43.15,8
"Central Soya Company","SO61263",2013-01-08,"AWC Logo Cap",48.55,9
"Best Way! Imaging","SO61190",2013-01-08,"AWC Logo Cap",61.32,12
"Desiree, Dominguez","SO61313",2013-01-09,"AWC Logo Cap",8.99,1
"Manuel, Sara","SO61354",2013-01-09,"AWC Logo Cap",8.99,1
"Adriana, Sara","SO61315",2013-01-09,"AWC Logo Cap",8.99,1
"Tyrone, Suarez","SO61327",2013-01-09,"AWC Logo Cap",8.99,1
"Charles, Martin","SO61364",2013-01-09,"AWC Logo Cap",8.99,1
"Nathaniel, Cooper","SO61412",2013-01-10,"AWC Logo Cap",8.99,1
"Elizabeth, Long","SO61415",2013-01-10,"AWC Logo Cap",8.99,1
"Catherine, Cox","SO61420",2013-01-10,"AWC Logo Cap",8.99,1
"Victoria, Butler","SO61421",2013-01-10,"AWC Logo Cap",8.99,1
"Brandy, Lopez","SO61377",2013-01-10,"AWC Logo Cap",8.99,1
"Rachael, Rana","SO61378",2013-01-10,"AWC Logo Cap",8.99,1
"Kathryn, Sharma","SO61401",2013-01-10,"AWC Logo Cap",8.99,1
"Jeremiah, Green","SO61387",2013-01-10,"AWC Logo Cap",8.99,1
"Marie, Sanz","SO61470",2013-01-11,"AWC Logo Cap",8.99,1
"Alicia, She","SO61435",2013-01-11,"AWC Logo Cap",8.99,1
"Nathaniel, Cook","SO61479",2013-01-11,"AWC Logo Cap",8.99,1
"Hunter, Baker","SO61465",2013-01-11,"AWC Logo Cap",8.99,1
"Jamie, Lu","SO61434",2013-01-11,"AWC Logo Cap",8.99,1
"Leslie, Gill","SO61538",2013-01-12,"AWC Logo Cap",8.99,1
"Russell, Sharma","SO61490",2013-01-12,"AWC Logo Cap",8.99,1
"Michele, Schmidt","SO61488",2013-01-12,"AWC Logo Cap",8.99,1
"Ashlee, Tang","SO61545",2013-01-13,"AWC Logo Cap",8.99,1
"Maria, Jenkins","SO61553",2013-01-13,"AWC Logo Cap",8.99,1
"Katherine, Perry","SO61548",2013-01-13,"AWC Logo Cap",8.99,1
"Josue, Blanco","SO61570",2013-01-13,"AWC Logo Cap",8.99,1
"Bruce, Madan","SO61546",2013-01-13,"AWC Logo Cap",8.99,1
"Abby, Gonzalez","SO61594",2013-01-13,"AWC Logo Cap",8.99,1
"Joan, Gao","SO61593",2013-01-13,"AWC Logo Cap",8.99,1
"Ethan, Kumar","SO61605",2013-01-14,"AWC Logo Cap",8.99,1
"David, Ross","SO61651",2013-01-14,"AWC Logo Cap",8.99,1
"Melinda, Vazquez","SO61625",2013-01-14,"AWC Logo Cap",8.99,1
"Nicolas, Xie","SO61602",2013-01-14,"AWC Logo Cap",8.99,1
"Shannon, Alonso","SO61643",2013-01-14,"AWC Logo Cap",8.99,1
"Dale, Nath","SO61598",2013-01-14,"AWC Logo Cap",8.99,1
"Jerry, Sharma","SO61719",2013-01-15,"AWC Logo Cap",8.99,1
"Glenn, Huang","SO61711",2013-01-15,"AWC Logo Cap",8.99,1
"Harold, Prasad","SO61665",2013-01-15,"AWC Logo Cap",8.99,1
"Ross, Johnsen","SO61657",2013-01-15,"AWC Logo Cap",8.99,1
"Richard, Hill","SO61701",2013-01-15,"AWC Logo Cap",8.99,1
"Calvin, Shen","SO61661",2013-01-15,"AWC Logo Cap",8.99,1
"Janet, Ward","SO61716",2013-01-15,"AWC Logo Cap",8.99,1
"Wendy, Gutierrez","SO61762",2013-01-16,"AWC Logo Cap",8.99,1
"Mackenzie, Baker","SO61763",2013-01-16,"AWC Logo Cap",8.99,1
"David, Lal","SO61751",2013-01-16,"AWC Logo Cap",8.99,1
"Alexandria, Cook","SO61746",2013-01-16,"AWC Logo Cap",8.99,1
"Madison, Jenkins","SO61759",2013-01-16,"AWC Logo Cap",8.99,1
"Jésus, Blanco","SO61773",2013-01-16,"AWC Logo Cap",8.99,1
"David, Martin","SO61764",2013-01-16,"AWC Logo Cap",8.99,1
"Meghan, Sanz","SO61782",2013-01-16,"AWC Logo Cap",8.99,1
"Cindy, Jordan","SO61825",2013-01-17,"AWC Logo Cap",8.99,1
"Katie, Luo","SO61838",2013-01-17,"AWC Logo Cap",8.99,1
"Angel, Adams","SO61811",2013-01-17,"AWC Logo Cap",8.99,1
"Alisha, Lu","SO61853",2013-01-17,"AWC Logo Cap",8.99,1
"Teresa, Martin","SO61822",2013-01-17,"AWC Logo Cap",8.99,1
"Jessica, Walker","SO61844",2013-01-17,"AWC Logo Cap",8.99,1
"Tara, Jai","SO61786",2013-01-17,"AWC Logo Cap",8.99,1
"Diana, Suarez","SO61827",2013-01-17,"AWC Logo Cap",8.99,1
"Katherine, Nelson","SO61805",2013-01-17,"AWC Logo Cap",8.99,1
"Candace, Raman","SO61920",2013-01-18,"AWC Logo Cap",8.99,1
"Latasha, Alonso","SO61905",2013-01-18,"AWC Logo Cap",8.99,1
"Zachary, Davis","SO61893",2013-01-18,"AWC Logo Cap",8.99,1
"James, Green","SO61881",2013-01-18,"AWC Logo Cap",8.99,1
"Clayton, Guo","SO61860",2013-01-18,"AWC Logo Cap",8.99,1
"Jose, Mitchell","SO61891",2013-01-18,"AWC Logo Cap",8.99,1
"Frank, Diaz","SO61919",2013-01-18,"AWC Logo Cap",8.99,1
"Byron, Carlson","SO61969",2013-01-19,"AWC Logo Cap",8.99,1
"Xavier, Evans","SO61922",2013-01-19,"AWC Logo Cap",8.99,1
"Ian, Miller","SO61935",2013-01-19,"AWC Logo Cap",8.99,1
"Vincent, Zhou","SO61961",2013-01-19,"AWC Logo Cap",8.99,1
"Leslie, Gutierrez","SO61955",2013-01-19,"AWC Logo Cap",8.99,1
"Jenna, Parker","SO61962",2013-01-19,"AWC Logo Cap",8.99,1
"Olivia, Gonzales","SO62006",2013-01-20,"AWC Logo Cap",8.99,1
"Devin, Gray","SO62053",2013-01-21,"AWC Logo Cap",8.99,1
"Jamie, Zhou","SO62029",2013-01-21,"AWC Logo Cap",8.99,1
"Maria, Cook","SO62048",2013-01-21,"AWC Logo Cap",8.99,1
"Kelli, Chen","SO62075",2013-01-21,"AWC Logo Cap",8.99,1
"Edwin, Xie","SO62060",2013-01-21,"AWC Logo Cap",8.99,1
"Charles, Jackson","SO62088",2013-01-22,"AWC Logo Cap",8.99,1
"Tamer, Salah","SO62126",2013-01-22,"AWC Logo Cap",8.99,1
"Marissa, Butler","SO62128",2013-01-22,"AWC Logo Cap",8.99,1
"Angela, Price","SO62131",2013-01-22,"AWC Logo Cap",8.99,1
"Colin, Goel","SO62147",2013-01-22,"AWC Logo Cap",8.99,1
"Russell, Shen","SO62170",2013-01-23,"AWC Logo Cap",8.99,1
"Emily, Flores","SO62208",2013-01-23,"AWC Logo Cap",8.99,1
"Jeremiah, Howard","SO62211",2013-01-23,"AWC Logo Cap",8.99,1
"Ryan, Taylor","SO62227",2013-01-23,"AWC Logo Cap",8.99,1
"Henry, Madan","SO62167",2013-01-23,"AWC Logo Cap",8.99,1
"Hunter, Campbell","SO62193",2013-01-23,"AWC Logo Cap",8.99,1
"Alejandro, She","SO62176",2013-01-23,"AWC Logo Cap",8.99,1
"Donna, Beck","SO62169",2013-01-23,"AWC Logo Cap",8.99,1
"Barbara, Zeng","SO62231",2013-01-23,"AWC Logo Cap",8.99,1
"Meredith, Arun","SO62216",2013-01-23,"AWC Logo Cap",8.99,1
"Logan, Flores","SO62270",2013-01-24,"AWC Logo Cap",8.99,1
"Ebony, Gutierrez","SO62279",2013-01-24,"AWC Logo Cap",8.99,1
"Sean, Morgan","SO62324",2013-01-25,"AWC Logo Cap",8.99,1
"Alfredo, Munoz","SO62344",2013-01-25,"AWC Logo Cap",8.99,1
"Darryl, Hu","SO62294",2013-01-25,"AWC Logo Cap",8.99,1
"Tamara, Li","SO62298",2013-01-25,"AWC Logo Cap",8.99,1
"Jocelyn, Flores","SO62302",2013-01-25,"AWC Logo Cap",8.99,1
"Nina, Raji","SO62341",2013-01-25,"AWC Logo Cap",8.99,1
"Kevin, Campbell","SO62388",2013-01-26,"AWC Logo Cap",8.99,1
"Jeremy, Young","SO62380",2013-01-26,"AWC Logo Cap",8.99,1
"Eugene, Xu","SO62365",2013-01-26,"AWC Logo Cap",8.99,1
"Gabrielle, Mitchell","SO62381",2013-01-26,"AWC Logo Cap",8.99,1
"Elizabeth, Martinez","SO62385",2013-01-26,"AWC Logo Cap",8.99,1
"Hunter, Wilson","SO62360",2013-01-26,"AWC Logo Cap",8.99,1
"Arianna, Sanchez","SO62392",2013-01-26,"AWC Logo Cap",8.99,1
"Alexis, Coleman","SO62467",2013-01-27,"AWC Logo Cap",8.99,1
"Franklin, Raji","SO62451",2013-01-27,"AWC Logo Cap",8.99,1
"Denise, Perez","SO62426",2013-01-27,"AWC Logo Cap",8.99,1
"Jacob, Miller","SO62427",2013-01-27,"AWC Logo Cap",8.99,1
"Dominic, Prasad","SO62403",2013-01-27,"AWC Logo Cap",8.99,1
"Ross, Martinez","SO62448",2013-01-27,"AWC Logo Cap",8.99,1
"Darren, Fernandez","SO62421",2013-01-27,"AWC Logo Cap",8.99,1
"April, Shan","SO62504",2013-01-28,"AWC Logo Cap",8.99,1
"Isabelle, Russell","SO62509",2013-01-28,"AWC Logo Cap",8.99,1
"Reginald, Sanz","SO62478",2013-01-28,"AWC Logo Cap",8.99,1
"Ashley, Jenkins","SO62502",2013-01-28,"AWC Logo Cap",8.99,1
"Tina, Fernandez","SO62524",2013-01-28,"AWC Logo Cap",8.99,1
"Kathryn, Becker","SO62474",2013-01-28,"AWC Logo Cap",8.99,1
"Regina, Fernandez","SO62506",2013-01-28,"AWC Logo Cap",8.99,1
"Arturo, Xu","SO62567",2013-01-29,"AWC Logo Cap",8.99,1
"Clarence, Nath","SO62579",2013-01-29,"AWC Logo Cap",8.99,1
"Philip, Suarez","SO62564",2013-01-29,"AWC Logo Cap",8.99,1
"Dalton, Perez","SO62597",2013-01-30,"AWC Logo Cap",8.99,1
"Natalie, Jenkins","SO62613",2013-01-30,"AWC Logo Cap",8.99,1
"Anna, Brown","SO62609",2013-01-30,"AWC Logo Cap",8.99,1
"Jaclyn, Sun","SO62585",2013-01-30,"AWC Logo Cap",8.99,1
"Jason, Edwards","SO62605",2013-01-30,"AWC Logo Cap",8.99,1
"Marissa, Powell","SO62590",2013-01-30,"AWC Logo Cap",8.99,1
"Savannah, Sanchez","SO62628",2013-01-31,"AWC Logo Cap",8.99,1
"Hailey, Roberts","SO62643",2013-01-31,"AWC Logo Cap",8.99,1
"Christy, Ma","SO62637",2013-01-31,"AWC Logo Cap",8.99,1
"Julian, Henderson","SO62642",2013-01-31,"AWC Logo Cap",8.99,1
"Kari, Rodriguez","SO62658",2013-01-31,"AWC Logo Cap",8.99,1
"Jordan, Kumar","SO62681",2013-01-31,"AWC Logo Cap",8.99,1
"Brad, Andersen","SO62689",2013-01-31,"AWC Logo Cap",8.99,1
"Derrick, Romero","SO62680",2013-01-31,"AWC Logo Cap",8.99,1
"Arthur, Carlson","SO62737",2013-02-01,"AWC Logo Cap",8.99,1
"Shelby, Bailey","SO62733",2013-02-01,"AWC Logo Cap",8.99,1
"Megan, Russell","SO62745",2013-02-01,"AWC Logo Cap",8.99,1
"Richard, Kelly","SO62723",2013-02-01,"AWC Logo Cap",8.99,1
"Jason, Flores","SO62716",2013-02-01,"AWC Logo Cap",8.99,1
"Elizabeth, Coleman","SO62751",2013-02-02,"AWC Logo Cap",8.99,1
"Omar, Liu","SO62807",2013-02-02,"AWC Logo Cap",8.99,1
"Kari, Sai","SO62758",2013-02-02,"AWC Logo Cap",8.99,1
"Melissa, Perry","SO62803",2013-02-02,"AWC Logo Cap",8.99,1
"Emma, Walker","SO62784",2013-02-02,"AWC Logo Cap",8.99,1
"Mackenzie, Morris","SO62785",2013-02-02,"AWC Logo Cap",8.99,1
"Jada, Morgan","SO62829",2013-02-03,"AWC Logo Cap",8.99,1
"Natalie, Stewart","SO62846",2013-02-03,"AWC Logo Cap",8.99,1
"Mayra, Garcia","SO62840",2013-02-03,"AWC Logo Cap",8.99,1
"Clayton, Tang","SO62909",2013-02-04,"AWC Logo Cap",8.99,1
"Caleb, Collins","SO62898",2013-02-04,"AWC Logo Cap",8.99,1
"Katherine, Mitchell","SO62938",2013-02-04,"AWC Logo Cap",8.99,1
"Elijah, Patterson","SO62936",2013-02-04,"AWC Logo Cap",8.99,1
"Luke, Hall","SO62981",2013-02-05,"AWC Logo Cap",8.99,1
"Ronnie, Xu","SO62951",2013-02-05,"AWC Logo Cap",8.99,1
"Henry, Garcia","SO63003",2013-02-06,"AWC Logo Cap",8.99,1
"Edgar, Mehta","SO63058",2013-02-06,"AWC Logo Cap",8.99,1
"Melinda, Romero","SO63041",2013-02-06,"AWC Logo Cap",8.99,1
"Jamie, Cai","SO63040",2013-02-06,"AWC Logo Cap",8.99,1
"Amanda, Watson","SO63027",2013-02-06,"AWC Logo Cap",8.99,1
"Misty, Chander","SO63012",2013-02-06,"AWC Logo Cap",8.99,1
"Noah, Rodriguez","SO63037",2013-02-06,"AWC Logo Cap",8.99,1
"Tamara, He","SO63057",2013-02-06,"AWC Logo Cap",8.99,1
"Andrés, Anand","SO63115",2013-02-07,"AWC Logo Cap",8.99,1
"Ashley, Henderson","SO63072",2013-02-07,"AWC Logo Cap",8.99,1
"Troy, Patel","SO63091",2013-02-07,"AWC Logo Cap",8.99,1
"Diane, Sanz","SO63065",2013-02-07,"AWC Logo Cap",8.99,1
"Angel, Cook","SO63080",2013-02-07,"AWC Logo Cap",8.99,1
"Colleen, Zhou","SO63063",2013-02-07,"AWC Logo Cap",8.99,1
"Erick, Rodriguez","SO63074",2013-02-07,"AWC Logo Cap",8.99,1
"Jeffery, Zhu","SO63099",2013-02-07,"AWC Logo Cap",8.99,1
"Besicorp","SO63222",2013-02-08,"AWC Logo Cap",5.39,1
"A-02-Z Solutions","SO63180",2013-02-08,"AWC Logo Cap",5.39,1
"Farmland Industries","SO63200",2013-02-08,"AWC Logo Cap",5.39,1
"Megan, Stewart","SO63344",2013-02-08,"AWC Logo Cap",8.99,1
"Jerome, Navarro","SO63304",2013-02-08,"AWC Logo Cap",8.99,1
"Clayton, Beck","SO63334",2013-02-08,"AWC Logo Cap",8.99,1
"Jack, Hughes","SO63313",2013-02-08,"AWC Logo Cap",8.99,1
"Randall, Munoz","SO63302",2013-02-08,"AWC Logo Cap",8.99,1
"Kristin, Yuan","SO63359",2013-02-08,"AWC Logo Cap",8.99,1
"Martin, Madan","SO63296",2013-02-08,"AWC Logo Cap",8.99,1
"Joanna, Blanco","SO63332",2013-02-08,"AWC Logo Cap",8.99,1
"Ashley, Wilson","SO63306",2013-02-08,"AWC Logo Cap",8.99,1
"H.H. Robertson Company","SO63139",2013-02-08,"AWC Logo Cap",10.79,2
"Helfand Enterprises","SO63239",2013-02-08,"AWC Logo Cap",10.79,2
"KentISP","SO63148",2013-02-08,"AWC Logo Cap",16.18,3
"Abbotsbury","SO63285",2013-02-08,"AWC Logo Cap",16.18,3
"R&R Group","SO63136",2013-02-08,"AWC Logo Cap",16.18,3
"UTStarGate","SO63133",2013-02-08,"AWC Logo Cap",16.18,3
"Rdlabs","SO63257",2013-02-08,"AWC Logo Cap",21.58,4
